,词汇,词性
4837,得,助词
4838,最,副词
4839,响,动词
4840,！,标点符号
4841,结果,名词
4842,呢,语气词
4843,，,标点符号
4844,人家,代词
4845,卖,动词
4846,到,动词
4847,6999,数词
4848,去,动词
4849,了,语气词
4850,，,标点符号
4851,你们,代词
4852,还,副词
4853,用,动词
4854,最,副词
4855,贵,形容词
4856,的,助词
4857,料,名词
4858,卖,动词
4859,着,助词
4860,最,副词
4861,便宜,形容词
4862,的,助词
4863,价格,名词
4864,，,标点符号
4865,让,动词
4866,别,副词
4867,家,量词
4868,卖,动词
4869,高,形容词
4870,端,动词
4871,的,助词
4872,怎么,代词
4873,想,动词
4874,，,标点符号
4875,太,副词
4876,不,副词
4877,诚信,形容词
4878,了,语气词
4879,！,标点符号
4880,说,动词
4881,好,形容词
4882,的,助词
4883,高,形容词
4884,端,动词
4885,呢,语气词
4886,？,标点符号
4887,如果,连词
4888,这个,代词
4889,公司,名词
4890,以后,方位词
4891,还,副词
4892,这么,代词
4893,干,动词
4894,，,标点符号
4895,我,代词
4896,.,标点符号
4897,.,标点符号
4898,.,标点符号
4899,.,标点符号
4900,.,标点符号
4901,.,标点符号
4902,我,代词
4903,还,副词
4904,买,动词
4905,！,标点符号
4906,！,标点符号
4907,终于,副词
4908,在,介词
4909,我,代词
4910,的,助词
4911,劝说,动词
4912,下,方位词
4913,全家,名词
4914,都,副词
4915,要,动词
4916,换,动词
4917,小米,名词
4918,了,语气词
4919, ,
4920,评论,动词
4921,配,动词
4922,图,名词
4923,哇,语气词
4924,，,标点符号
4925,第一,数词
4926,哎,叹词
4927,，,标点符号
4928,雷,名词
4929,军,名词
4930,爸爸,名词
4931,回,动词
4932,我,代词
4933,一下,数词
4934,好,形容词
4935,不好,形容词
4936,小米,名词
4937,8,数词
4938,牛,名词
4939,B,名词
4940,雷,名词
4941,总,区别词
4942,，,标点符号
4943,日常,区别词
4944,催,动词
4945,平板,名词
4946,5,数词
4947,。,标点符号
4948,。,标点符号
4949,。,标点符号
4950,月亮,名词
4951,模式,名词
4952,太,副词
4953,强,形容词
4954,了,助词
4955,雷,名词
4956,总,区别词
4957,所以,连词
4958,，,标点符号
4959,抽奖,动词
4960,吗,语气词
4961,？,标点符号
4962,军军,名词
4963,期待,动词
4964,小米,名词
4965,10,数词
4966,和,连词
4967,Discovery,名词
4968,一起,副词
4969,探索,动词
4970,！,标点符号
4971,平板,名词
4972,5,数词
4973,快,形容词
4974,点,量词
4975,出,动词
4976,，,标点符号
4977,我,代词
4978,平板,名词
4979,4,数词
4980,不,副词
4981,想,动词
4982,用,动词
4983,了,助词
4984,明天,时间词
4985,看,动词
4986,大,形容词
4987,片,量词
4988,雷,名词
4989,总,区别词
4990,，,标点符号
4991,我,代词
4992,想,动词
4993,提,动词
4994,个,量词
4995,建议,名词
4996,，,标点符号
4997,小米,名词
4998,售后服务,名词
4999,中心,名词
5000,，,标点符号
5001,能,动词
5002,不,副词
5003,能,动词
5004,多,形容词
5005,开,动词
5006,一点,数词
5007,啊,语气词
5008,，,标点符号
5009,我,代词
5010,在,介词
5011,北京,名词
5012,，,标点符号
5013,整个,区别词
5014,北京,名词
5015,城东,处所词
5016,半,数词
5017,部,量词
5018,，,标点符号
5019,平谷,名词
5020,密云,名词
5021,怀柔,名词
5022,顺义,名词
5023,四,数词
5024,个,量词
5025,区,名词
5026,，,标点符号
5027,您,代词
5028,看看,动词
5029,，,标点符号
5030,一个,数词
5031,售,动词
5032,后,方位词
5033,中心,名词
5034,都,副词
5035,没有,动词
5036,，,标点符号
5037,修,动词
5038,个,量词
5039,手机,名词
5040,还要,动词
5041,去,动词
5042,昌平,名词
5043,海淀,名词
5044,，,标点符号
5045,太,副词
5046,不,副词
5047,方便,形容词
5048,了,语气词
5049,！,标点符号
5050,！,标点符号
5051,起来,动词
5052,搞,动词
5053,点,量词
5054,小,形容词
5055,米,量词
5056,10,数词
5057,发货,动词
5058,吧,语气词
5059,，,标点符号
5060,起来,动词
5061,搞,动词
5062,点,量词
5063,小,形容词
5064,米,量词
5065,10,数词
5066,发货,动词
5067,吧,语气词
5068,，,标点符号
5069,起来,动词
5070,搞,动词
5071,点,量词
5072,小,形容词
5073,米,量词
5074,10,数词
5075,发货,动词
5076,吧,语气词
5077,，,标点符号
5078,谢谢,动词
5079,大,形容词
5080,佬,名词
5081,雷,名词
5082,总,副词
5083,你,代词
5084,转发,动词
5085,也,副词
5086,是,动词
5087,为了,介词
5088,小米,名词
5089,手,名词
5090,环,名词
5091,吧,语气词
5092,雷,名词
5093,总,区别词
5094, ,
5095,求,动词
5096,求,动词
5097,你,代词
5098,去,动词
5099,拧,动词
5100,螺丝,名词
5101,吧,语气词
5102,、,标点符号
5103,米,名词
5104,10,数词
5105,都,副词
5106,6,数词
5107,天,量词
5108,没,副词
5109,发货,动词
5110,了,助词
5111,小,形容词
5112,米,量词
5113,10,数词
5114,支持,动词
5115,两,数词
5116,张,量词
5117,电信,名词
5118,卡,名词
5119,吗,语气词
5120,？,标点符号
5121,小米,名词
5122,平板,名词
5123,5,数词
5124,走,动词
5125,起,动词
5126,，,标点符号
5127,大家,代词
5128,送,动词
5129,我,代词
5130,上,方位词
5131,去,动词
5132,！,标点符号
5133,上月,时间词
5134,25,数词
5135,号,量词
5136,全,形容词
5137,款,名词
5138,预售,动词
5139,的,助词
5140,10pro,名词
5141,至今,副词
5142,未,副词
5143,发,动词
5144,货,名词
5145,，,标点符号
5146,问,动词
5147,具体,形容词
5148,发货,动词
5149,时间,名词
5150,客,名词
5151,服,动词
5152,一,数词
5153,问,动词
5154,三,数词
5155,不,副词
5156,知,动词
5157,，,标点符号
5158,别,副词
5159,家,量词
5160,手机,名词
5161,发布,动词
5162,晚,时间词
5163,，,标点符号
5164,但,连词
5165,马上,副词
5166,就,介词
5167,现货,名词
5168,开,动词
5169,售,动词
5170,了,语气词
5171,，,标点符号
5172,小米,名词
5173,还,副词
5174,有,动词
5175,先,副词
5176,发,动词
5177,优势,名词
5178,吗,语气词
5179,？,标点符号
5180,Discovery,名词
5181,和,连词
5182,小米,名词
5183,我,代词
5184,都,副词
5185,喜欢,动词
5186,雷,名词
5187,总,区别词
5188,定制,名词
5189,865x,名词
5190,平板,名词
5191,处理器,名词
5192,一举,副词
5193,攻,动词
5194,下,动词
5195,平板,名词
5196,市场,名词
5197,雷,名词
5198,总,区别词
5199,定制,名词
5200,一个,数词
5201,天,名词
5202,玑,名词
5203,1000,数词
5204,的,助词
5205,平板,名词
5206,吧,语气词
5207,，,标点符号
5208,要,动词
5209,3Dtouch,名词
5210,的,助词
5211,，,标点符号
5212,要,动词
5213,有,动词
5214,手,名词
5215,写,动词
5216,笔,名词
5217, ,
5218, ,
5219,考,名词
5220,研,动词
5221,党,名词
5222,很,副词
5223,需要,动词
5224,啊,叹词
5225,小米,名词
5226,就,副词
5227,是,动词
5228,个,量词
5229,毫无,动词
5230,诚信,形容词
5231,、,标点符号
5232,出尔反尔,动词
5233,的,助词
5234,公司,名词
5235,！,标点符号
5236,！,标点符号
5237,！,标点符号
5238,网络,名词
5239,上,方位词
5240,渲染,动词
5241,了,助词
5242,半天,数词
5243,，,标点符号
5244,今年,时间词
5245,我们,代词
5246,要,动词
5247,冲,动词
5248,高,形容词
5249,端,动词
5250,了,语气词
5251,，,标点符号
5252,我们,代词
5253,下,动词
5254,血本,名词
5255,了,语气词
5256,，,标点符号
5257,要,动词
5258,卖,动词
5259,得,助词
5260,贵,形容词
5261,了,语气词
5262,！,标点符号
5263,就,介词
5264,你,代词
5265,吼,动词
5266,得,助词
5267,最,副词
5268,早,形容词
5269,，,标点符号
5270,吼,动词
5271,得,助词
5272,最,副词
5273,响,动词
5274,！,标点符号
5275,结果,名词
5276,呢,语气词
5277,，,标点符号
5278,人家,代词
5279,卖,动词
5280,到,动词
5281,6999,数词
5282,去,动词
5283,了,语气词
5284,，,标点符号
5285,你们,代词
5286,还,副词
5287,用,动词
5288,最,副词
5289,贵,形容词
5290,的,助词
5291,料,名词
5292,卖,动词
5293,着,助词
5294,最,副词
5295,便宜,形容词
5296,的,助词
5297,价格,名词
5298,，,标点符号
5299,让,动词
5300,别,副词
5301,家,量词
5302,卖,动词
5303,高,形容词
5304,端,动词
5305,的,助词
5306,怎么,代词
5307,想,动词
5308,，,标点符号
5309,太,副词
5310,不,副词
5311,诚信,形容词
5312,了,语气词
5313,！,标点符号
5314,说,动词
5315,好,形容词
5316,的,助词
5317,高,形容词
5318,端,动词
5319,呢,语气词
5320,？,标点符号
5321,如果,连词
5322,这个,代词
5323,公司,名词
5324,以后,方位词
5325,还,副词
5326,这么,代词
5327,干,动词
5328,，,标点符号
5329,我,代词
5330,.,标点符号
5331,.,标点符号
5332,.,标点符号
5333,.,标点符号
5334,.,标点符号
5335,.,标点符号
5336,我,代词
5337,还,副词
5338,买,动词
5339,！,标点符号
5340,！,标点符号
5341,终于,副词
5342,在,介词
5343,我,代词
5344,的,助词
5345,劝说,动词
5346,下,方位词
5347,全家,名词
5348,都,副词
5349,要,动词
5350,换,动词
5351,小米,名词
5352,了,语气词
5353, ,
5354,评论,动词
5355,配,动词
5356,图,名词
5357,哇,语气词
5358,，,标点符号
5359,第一,数词
5360,哎,叹词
5361,，,标点符号
5362,雷,名词
5363,军,名词
5364,爸爸,名词
5365,回,动词
5366,我,代词
5367,一下,数词
5368,好,形容词
5369,不好,形容词
5370,小米,名词
5371,8,数词
5372,牛,名词
5373,B,名词
5374,雷,名词
5375,总,区别词
5376,，,标点符号
5377,日常,区别词
5378,催,动词
5379,平板,名词
5380,5,数词
5381,。,标点符号
5382,。,标点符号
5383,。,标点符号
5384,月亮,名词
5385,模式,名词
5386,太,副词
5387,强,形容词
5388,了,助词
5389,雷,名词
5390,总,区别词
5391,所以,连词
5392,，,标点符号
5393,抽奖,动词
5394,吗,语气词
5395,？,标点符号
5396,军军,名词
5397,期待,动词
5398,小米,名词
5399,10,数词
5400,和,连词
5401,Discovery,名词
5402,一起,副词
5403,探索,动词
5404,！,标点符号
5405,平板,名词
5406,5,数词
5407,快,形容词
5408,点,量词
5409,出,动词
5410,，,标点符号
5411,我,代词
5412,平板,名词
5413,4,数词
5414,不,副词
5415,想,动词
5416,用,动词
5417,了,助词
5418,明天,时间词
5419,看,动词
5420,大,形容词
5421,片,量词
5422,雷,名词
5423,总,区别词
5424,，,标点符号
5425,我,代词
5426,想,动词
5427,提,动词
5428,个,量词
5429,建议,名词
5430,，,标点符号
5431,小米,名词
5432,售后服务,名词
5433,中心,名词
5434,，,标点符号
5435,能,动词
5436,不,副词
5437,能,动词
5438,多,形容词
5439,开,动词
5440,一点,数词
5441,啊,语气词
5442,，,标点符号
5443,我,代词
5444,在,介词
5445,北京,名词
5446,，,标点符号
5447,整个,区别词
5448,北京,名词
5449,城东,处所词
5450,半,数词
5451,部,量词
5452,，,标点符号
5453,平谷,名词
5454,密云,名词
5455,怀柔,名词
5456,顺义,名词
5457,四,数词
5458,个,量词
5459,区,名词
5460,，,标点符号
5461,您,代词
5462,看看,动词
5463,，,标点符号
5464,一个,数词
5465,售,动词
5466,后,方位词
5467,中心,名词
5468,都,副词
5469,没有,动词
5470,，,标点符号
5471,修,动词
5472,个,量词
5473,手机,名词
5474,还要,动词
5475,去,动词
5476,昌平,名词
5477,海淀,名词
5478,，,标点符号
5479,太,副词
5480,不,副词
5481,方便,形容词
5482,了,语气词
5483,！,标点符号
5484,！,标点符号
5485,起来,动词
5486,搞,动词
5487,点,量词
5488,小,形容词
5489,米,量词
5490,10,数词
5491,发货,动词
5492,吧,语气词
5493,，,标点符号
5494,起来,动词
5495,搞,动词
5496,点,量词
5497,小,形容词
5498,米,量词
5499,10,数词
5500,发货,动词
5501,吧,语气词
5502,，,标点符号
5503,起来,动词
5504,搞,动词
5505,点,量词
5506,小,形容词
5507,米,量词
5508,10,数词
5509,发货,动词
5510,吧,语气词
5511,，,标点符号
5512,谢谢,动词
5513,大,形容词
5514,佬,名词
5515,雷,名词
5516,总,副词
5517,你,代词
5518,转发,动词
5519,也,副词
5520,是,动词
5521,为了,介词
5522,小米,名词
5523,手,名词
5524,环,名词
5525,吧,语气词
5526,雷,名词
5527,总,区别词
5528, ,
5529,求,动词
5530,求,动词
5531,你,代词
5532,去,动词
5533,拧,动词
5534,螺丝,名词
5535,吧,语气词
5536,、,标点符号
5537,米,名词
5538,10,数词
5539,都,副词
5540,6,数词
5541,天,量词
5542,没,副词
5543,发货,动词
5544,了,助词
5545,小,形容词
5546,米,量词
5547,10,数词
5548,支持,动词
5549,两,数词
5550,张,量词
5551,电信,名词
5552,卡,名词
5553,吗,语气词
5554,？,标点符号
5555,小米,名词
5556,平板,名词
5557,5,数词
5558,走,动词
5559,起,动词
5560,，,标点符号
5561,大家,代词
5562,送,动词
5563,我,代词
5564,上,方位词
5565,去,动词
5566,！,标点符号
5567,上月,时间词
5568,25,数词
5569,号,量词
5570,全,形容词
5571,款,名词
5572,预售,动词
5573,的,助词
5574,10pro,名词
5575,至今,副词
5576,未,副词
5577,发,动词
5578,货,名词
5579,，,标点符号
5580,问,动词
5581,具体,形容词
5582,发货,动词
5583,时间,名词
5584,客,名词
5585,服,动词
5586,一,数词
5587,问,动词
5588,三,数词
5589,不,副词
5590,知,动词
5591,，,标点符号
5592,别,副词
5593,家,量词
5594,手机,名词
5595,发布,动词
5596,晚,时间词
5597,，,标点符号
5598,但,连词
5599,马上,副词
5600,就,介词
5601,现货,名词
5602,开,动词
5603,售,动词
5604,了,语气词
5605,，,标点符号
5606,小米,名词
5607,还,副词
5608,有,动词
5609,先,副词
5610,发,动词
5611,优势,名词
5612,吗,语气词
5613,？,标点符号
5614,Discovery,名词
5615,和,连词
5616,小米,名词
5617,我,代词
5618,都,副词
5619,喜欢,动词
